E_eV,SN_opt3_eV_m2,SN_opt4_eV_m2,ratio_opt4_over_opt3
2.754228703338e+03,3.965502805142e-19,3.965502805142e-19,1.000000000000e+00
2.884031503127e+03,4.081489473810e-19,4.081489473810e-19,1.000000000000e+00
3.019951720402e+03,4.245528619055e-19,4.245528619055e-19,1.000000000000e+00
3.162277660168e+03,4.417330741283e-19,4.417330741283e-19,1.000000000000e+00
3.311311214826e+03,4.585069600091e-19,4.585069600091e-19,1.000000000000e+00
3.467368504525e+03,4.748685256327e-19,4.748685256327e-19,1.000000000000e+00
3.630780547701e+03,4.934250912905e-19,4.934250912905e-19,1.000000000000e+00
3.801893963206e+03,5.119359415828e-19,5.119359415828e-19,1.000000000000e+00
3.981071705535e+03,5.300260764735e-19,5.300260764735e-19,1.000000000000e+00
4.168693834703e+03,5.486990075112e-19,5.486990075112e-19,1.000000000000e+00
4.365158322402e+03,5.680163849474e-19,5.680163849474e-19,1.000000000000e+00
4.570881896149e+03,5.870679328994e-19,5.870679328994e-19,1.000000000000e+00
4.786300923226e+03,6.063434549984e-19,6.063434549984e-19,1.000000000000e+00
5.000000000000e+03,6.246287907197e-19,6.246287907197e-19,1.000000000000e+00
5.011872336273e+03,6.256121977322e-19,6.256121977322e-19,1.000000000000e+00
5.248074602498e+03,6.445235733262e-19,6.445235733262e-19,1.000000000000e+00
5.495408738576e+03,6.634982770328e-19,6.634982770328e-19,1.000000000000e+00
5.754399373372e+03,6.823532993587e-19,6.823532993587e-19,1.000000000000e+00
6.025595860744e+03,6.974029518599e-19,6.974029518599e-19,1.000000000000e+00
6.309573444802e+03,7.116111013186e-19,7.116111013186e-19,1.000000000000e+00
6.606934480076e+03,7.258067473807e-19,7.258067473807e-19,1.000000000000e+00
6.918309709189e+03,7.399572996169e-19,7.399572996169e-19,1.000000000000e+00
7.244359600750e+03,7.540475686217e-19,7.540475686217e-19,1.000000000000e+00
7.585775750292e+03,7.671764206900e-19,7.671764206900e-19,1.000000000000e+00
7.943282347243e+03,7.802405030583e-19,7.802405030583e-19,1.000000000000e+00
8.317637711027e+03,7.932510051418e-19,7.932510051418e-19,1.000000000000e+00
8.709635899561e+03,8.062676805621e-19,8.062676805621e-19,1.000000000000e+00
9.120108393559e+03,8.208173258523e-19,8.208173258523e-19,1.000000000000e+00
9.549925860214e+03,8.350594504440e-19,8.350594504440e-19,1.000000000000e+00
1.000000000000e+04,8.491389614494e-19,8.491389614494e-19,1.000000000000e+00
1.047128548051e+04,8.614633294692e-19,8.614633294692e-19,1.000000000000e+00
1.096478196143e+04,8.727012394107e-19,8.727012394107e-19,1.000000000000e+00
1.148153621497e+04,8.835580483886e-19,8.835580483886e-19,1.000000000000e+00
1.202264434617e+04,8.922613212777e-19,8.922613212777e-19,1.000000000000e+00
1.258925411794e+04,9.005294098680e-19,9.005294098680e-19,1.000000000000e+00
1.318256738556e+04,9.084462891206e-19,9.084462891206e-19,1.000000000000e+00
1.380384264603e+04,9.143722636255e-19,9.143722636255e-19,1.000000000000e+00
1.445439770746e+04,9.204309855202e-19,9.204309855202e-19,1.000000000000e+00
1.513561248436e+04,9.250905565081e-19,9.250905565081e-19,1.000000000000e+00
1.584893192461e+04,9.296704870608e-19,9.296704870608e-19,1.000000000000e+00
1.659586907438e+04,9.343328172626e-19,9.343328172626e-19,1.000000000000e+00
1.737800828749e+04,9.391018467478e-19,9.391018467478e-19,1.000000000000e+00
1.819700858610e+04,9.397054114020e-19,9.397054114020e-19,1.000000000000e+00
1.905460717963e+04,9.402661469661e-19,9.402661469661e-19,1.000000000000e+00
1.995262314969e+04,9.411142657242e-19,9.411142657242e-19,1.000000000000e+00
2.000000000000e+04,9.411676017960e-19,9.411676017960e-19,1.000000000000e+00
2.089296130854e+04,9.420472352232e-19,9.420472352232e-19,1.000000000000e+00
2.187761623950e+04,9.428960464477e-19,9.428960464477e-19,1.000000000000e+00
2.290867652768e+04,9.437941157769e-19,9.437941157769e-19,1.000000000000e+00
2.398832919019e+04,9.423059037253e-19,9.423059037253e-19,1.000000000000e+00
2.511886431510e+04,9.398069709999e-19,9.398069709999e-19,1.000000000000e+00
2.630267991895e+04,9.373105211919e-19,9.373105211919e-19,1.000000000000e+00
2.754228703338e+04,9.339685089522e-19,9.339685089522e-19,1.000000000000e+00
2.884031503127e+04,9.308112448387e-19,9.308112448387e-19,1.000000000000e+00
3.019951720402e+04,9.255324657709e-19,9.255324657709e-19,1.000000000000e+00
3.162277660168e+04,9.199541663955e-19,9.199541663955e-19,1.000000000000e+00
3.311311214826e+04,9.146094582262e-19,9.146094582262e-19,1.000000000000e+00
3.467368504525e+04,9.094658587738e-19,9.094658587738e-19,1.000000000000e+00
3.630780547701e+04,9.004944970120e-19,9.004944970120e-19,1.000000000000e+00
3.801893963206e+04,8.913535470883e-19,8.913535470883e-19,1.000000000000e+00
