event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
216,1.300429708666e+03,1.289784296814e+05,1.302788593901e+05,3.804758497342e+01
218,7.683041115798e+02,2.311399139018e+04,2.388229550176e+04,6.473746064398e+01
219,6.250690020737e+03,7.579175101918e+04,8.204244103992e+04,4.382692728433e+01
220,6.375233254624e+03,5.040107430998e+04,5.677630756460e+04,5.221472874979e+01
221,5.426867734518e+03,6.406804830869e+04,6.949491604321e+04,4.909904141414e+01
223,1.106511476988e+03,2.974479733279e+04,3.085130880978e+04,5.832860336813e+01
224,1.104055637464e+03,3.578856559733e+04,3.689262123479e+04,5.516357453737e+01
228,6.479444955183e+02,6.309411434106e+04,6.374205883658e+04,4.937477773013e+01
230,6.703207899825e+02,6.636427522383e+04,6.703459601382e+04,5.139695955096e+01
231,6.054601224530e+03,7.213154662261e+04,7.818614784714e+04,4.780254148474e+01
232,7.408430558926e+02,7.580110991239e+04,7.654195296828e+04,4.511800450399e+01
235,8.562781522112e+02,6.354544162387e+04,6.440171977608e+04,4.847470122548e+01
241,2.674673893300e+01,1.057546908462e+05,1.057814375851e+05,4.082843210688e+01
242,7.468887061551e+02,5.892719689241e+04,5.967408559856e+04,4.890935661574e+01
245,1.539245837452e+02,9.711855541407e+04,9.727247999782e+04,4.176998366808e+01
246,9.795133063275e+02,8.382938491274e+04,8.480889821907e+04,4.458989889634e+01
253,2.997168054645e+03,5.674100600798e+04,5.973817406263e+04,5.335524369543e+01
254,1.785344181089e+02,4.991890802593e+04,5.009744244404e+04,5.067128166898e+01
255,2.638620520079e+03,3.526819502258e+04,3.790681554266e+04,5.606087604394e+01
257,7.766044128140e+02,5.858253476075e+04,5.935913917357e+04,5.009230382928e+01
259,1.515587744562e+03,5.180449220437e+04,5.332007994894e+04,5.179259460999e+01
263,4.270202216636e+03,5.675948816039e+04,6.102969037702e+04,4.903854558757e+01
267,6.514115292932e+01,9.877399864584e+04,9.883913979877e+04,4.154560466838e+01
269,3.412707633607e+02,3.114296176285e+04,3.148423252621e+04,5.888647404478e+01
270,1.307834965641e+03,3.101913774902e+04,3.232697271467e+04,5.659752183587e+01
272,1.392523689528e+03,1.010442880412e+05,1.024368117307e+05,4.160227771656e+01
275,1.959346524750e+03,4.163643139315e+04,4.359577791790e+04,5.440048196987e+01
276,5.425024797097e+02,6.797347519086e+04,6.851597767057e+04,4.689875316771e+01
278,8.277557141923e+02,1.452513968769e+04,1.535289540188e+04,6.702149599321e+01
279,5.509556005650e+02,4.057320430557e+04,4.112415990614e+04,5.493286151506e+01
280,3.755055694702e+03,7.431842268230e+04,7.807347837700e+04,4.570256038507e+01
283,9.104535871066e+02,7.826433982289e+04,7.917479341000e+04,4.548519131865e+01
284,1.337030682425e+03,6.544467776443e+04,6.678170844685e+04,4.692282534066e+01
287,3.407513071043e+03,6.234903063644e+04,6.575654370748e+04,4.605252328637e+01
288,6.019070574249e+03,6.946844048860e+04,7.548751106285e+04,4.682270319932e+01
290,5.832878748324e+01,9.313849239156e+04,9.319682117904e+04,4.306351575336e+01
291,2.890668387338e+03,3.612708596448e+04,3.901775435182e+04,5.513689977739e+01
296,1.259217043675e+02,1.224836432924e+05,1.226095649968e+05,3.861889066752e+01
297,4.504862511583e+03,4.440305408422e+04,4.890791659581e+04,5.524833155413e+01
298,8.398819655931e+03,9.618277919792e+03,1.801709757572e+04,7.270521042727e+01
299,6.014832395899e+02,9.395145730575e+04,9.455294054534e+04,4.284342633967e+01
302,3.894301574433e+02,7.087215947745e+04,7.126158963490e+04,4.692833763399e+01
303,1.494441599543e+03,1.643640725278e+04,1.793084885232e+04,6.691419189217e+01
304,2.568851288913e+02,3.659299473434e+04,3.684987986323e+04,5.755173785685e+01
305,7.609979676921e+02,5.891292406859e+04,5.967392203628e+04,5.048991514196e+01
306,4.611599067387e+03,7.963077732774e+04,8.424237639512e+04,4.460404577779e+01
307,2.691286927605e+02,6.229894084476e+04,6.256806953752e+04,4.913506071449e+01
313,4.955124553478e+02,7.701466218419e+04,7.751017463954e+04,4.564862463443e+01
317,5.966960979918e+02,6.225022399426e+04,6.284692009225e+04,4.888969297190e+01
318,3.552172203769e+03,6.213747946288e+04,6.568965166665e+04,4.851151137071e+01
320,2.110073280186e+03,5.560962384011e+04,5.771969712030e+04,5.086926829169e+01
322,2.679866339106e+03,1.018966121139e+05,1.045764784530e+05,4.216384036207e+01
323,3.978505136244e+03,3.920770593365e+04,4.318621106989e+04,5.588528825909e+01
324,7.924422104793e+03,3.034259029352e+04,3.826701239831e+04,5.679790217845e+01
325,6.386468124181e+02,7.262739129524e+04,7.326603810766e+04,4.564333218398e+01
329,1.194898481850e+03,5.350892209899e+04,5.470382058084e+04,5.169061359608e+01
330,1.681220550485e+04,4.401144057236e+04,6.082364607721e+04,5.336050254989e+01
332,7.692102768088e+02,4.448254233312e+04,4.525175260993e+04,5.385198274425e+01
333,9.921414787308e+02,2.990912993694e+04,3.090127141567e+04,5.985813889754e+01
336,9.554188576830e+02,7.073957911048e+04,7.169499796816e+04,4.690342992308e+01
337,9.608903597864e+02,7.517540589276e+04,7.613629625254e+04,4.657811010345e+01
338,9.213015467431e+02,4.943264210319e+04,5.035394364993e+04,5.200882451514e+01
339,1.599569053121e+03,6.524863436926e+04,6.684820342238e+04,4.874896954273e+01
341,1.044024325365e+03,5.804942146011e+04,5.909344578547e+04,4.878293586380e+01
342,9.378314692512e+03,9.736392298117e+04,1.067422376737e+05,4.083800217113e+01
345,3.051329265302e+03,5.139699316076e+04,5.444832242606e+04,5.044460388095e+01
349,4.101967017669e+02,9.121632229965e+04,9.162651900142e+04,4.374762024471e+01
353,1.514300611030e+02,4.482989811928e+04,4.498132818038e+04,5.260459963293e+01
354,1.268225400345e+02,5.590284563279e+04,5.602966817282e+04,5.068820681606e+01
355,1.770109075946e+03,7.563653364388e+03,9.333762440334e+03,7.538253864238e+01
359,2.958728984338e+03,7.709518053981e+04,8.005390952414e+04,4.657788910600e+01
