source_case,plane,x_mm,y_mm,z_mm,V_V,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,E_V_per_m,Eperp_V_per_m,U_mu_eV,electrode,rho_mm
transport_highfield_10_v2,y=0_xz,-23.13523280240593,0.0,544.6752033646452,694.8365669485099,21235.97699010905,-766.2318769112683,-2320.851734343214,22474.168023051177,21550.010705205277,-694.8365726731239,V4,23.13523280240593
transport_highfield_10_v2,y=0_xz,-12.998589209721372,2.220446049250313e-16,543.9898074797661,560.7194920802035,7276.1727601668,-9.501701358537138,-2748.5250077614655,8018.598708403396,7369.489643279072,-560.7194966998547,V4,12.998589209721372
transport_highfield_10_v2,y=0_xz,-17.298721202381806,-2.220446049250313e-16,542.8353596577615,594.2489165357882,10970.415894720843,17.62419442018204,-4848.70032487028,12277.024823298158,11219.841320768473,-594.2489214316815,V4,17.298721202381806
transport_highfield_10_v2,y=0_xz,-16.654811370959987,0.0,546.3574557694953,579.1486758964339,9907.142283640598,530.4651871261791,920.7942939862238,12170.165810416283,10100.724683964103,-579.1486806679195,V4,16.654811370959987
transport_highfield_10_v2,y=0_xz,-20.300297943479045,-2.220446049250313e-16,544.2014861806184,646.6824762250573,17283.37697104767,123.75674716205224,-2106.171491944729,18122.243862300013,17514.407662314723,-646.6824815529397,V4,20.300297943479045
transport_highfield_10_v2,y=0_xz,-19.35567774401437,-2.220446049250313e-16,542.5738962544652,623.9859246964882,14173.159554295964,64.32988538824388,-8102.9045829256065,16861.575790488634,14377.406671359564,-623.9859298373784,V4,19.35567774401437
transport_highfield_10_v2,y=0_xz,22.1348772573015,2.7755575615628914e-17,541.7422451292161,639.8628505565833,-18483.89632098033,-427.6095433044956,-10623.535331623905,23136.029145492183,18543.105563440844,-639.8628558282803,V4,22.1348772573015
transport_highfield_10_v2,y=0_xz,-16.719249253032643,-2.220446049250313e-16,541.708484686995,576.1736748947106,9556.204453658362,262.0649835329451,-6137.699640933638,11864.52908723035,9679.573716645997,-576.1736796416858,V4,16.719249253032643
transport_highfield_10_v2,y=0_xz,21.643877728027093,0.0,386.3014858182403,6679.2654969178175,-184081.39673468692,1475.5220394918688,103960.14141476346,226000.99898640448,185177.25429800362,-6679.265551946894,V3,21.643877728027093
transport_highfield_10_v2,y=0_xz,-24.215741348467954,2.220446049250313e-16,383.8070664041887,7485.69590932466,264044.90135936165,-6706.088077408364,89453.89249920573,284382.7144274748,264953.5217068828,-7485.695970997752,V3,24.215741348467954
transport_highfield_10_v2,y=0_xz,24.87107481406134,2.220446049250313e-16,382.97807158402475,7779.56659563168,-314753.5771401455,-5813.4771190457495,35379.16857439015,320858.5977182826,317295.235738502,-7779.5666597259105,V3,24.87107481406134
transport_highfield_10_v2,y=0_xz,23.55029002682361,-2.220446049250313e-16,382.6758067713545,7416.692363349436,-263370.76968012284,1066.0253486286597,28774.529406639573,268502.04506281007,266022.55016934243,-7416.692424454021,V3,23.55029002682361
transport_highfield_10_v2,y=0_xz,24.467285618174454,5.551115123125783e-17,379.52658987034994,7270.000953515138,-230264.69745141733,10262.91598638512,-146931.53799726607,301126.0337334953,234544.08283807457,-7270.001013411164,V3,24.467285618174454
transport_highfield_10_v2,y=0_xz,24.941430809175614,-4.996003610813204e-16,378.29308250383673,7220.930040250483,-197818.37722880268,10670.459649500877,-205031.45397982647,294745.3817182384,201460.87319709483,-7220.930099742223,V3,24.941430809175614
